------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 8.118367346938776e+01  1.102930295238805e-03 -1.552313867559904e-01  1.726480532964518e-02 -4.070838313820219e-01  3.248678447761413e+00       35
 8.357142857142857e+01  1.895054648413806e-03 -1.595783390433831e-01  2.112203320029463e-02 -6.803776144613040e-01  3.156109679927359e+00       36
 8.595918367346938e+01  2.863417431489742e-03 -1.641610599715335e-01  2.387564636779816e-02 -9.992936104276490e-01  3.064580004833834e+00       37
 8.834693877551020e+01  3.885050954033888e-03 -1.685371839122368e-01  2.427515026974460e-02 -1.320525255517711e+00  2.972992647082487e+00       38
 9.073469387755102e+01  4.886711735812313e-03 -1.724347024248264e-01  2.266883764400396e-02 -1.623298762065715e+00  2.880705106690617e+00       39
 9.312244897959182e+01  5.774461720050109e-03 -1.755139986377293e-01  1.940166205926200e-02 -1.884368146311783e+00  2.786969376686517e+00       40
 9.551020408163265e+01  6.503808739411220e-03 -1.785402748061612e-01  1.316481857517955e-02 -2.086230093232373e+00  2.691030938627057e+00       41
 9.789795918367345e+01  6.871727965866987e-03 -1.818549476382104e-01  6.585410128855281e-03 -2.163998201705838e+00  2.591965555977676e+00       42
 1.002857142857143e+02  7.052691981186261e-03 -1.856271589973350e-01  3.020319559771751e-03 -2.175841166085000e+00  2.489323647505217e+00       43
 1.026734693877551e+02  7.123466697640485e-03 -1.892782116779622e-01  1.839929901768096e-04 -2.155303774975188e+00  2.383917231097341e+00       44
 1.050612244897959e+02  7.068027498209233e-03 -1.924886839011192e-01 -3.001784205712032e-03 -2.102909521958467e+00  2.275923816206998e+00       45
 1.074489795918367e+02  6.873272857534027e-03 -1.950287058969190e-01 -6.504630818706289e-03 -2.018403421317624e+00  2.165466732053696e+00       46
 1.098367346938775e+02  6.525877080747896e-03 -1.970581013607374e-01 -1.060351415460801e-02 -1.896743213972770e+00  2.052625082558482e+00       47
 1.122244897959184e+02  5.989487172345073e-03 -1.989581851179342e-01 -1.504028645200879e-02 -1.724325762660474e+00  1.937753326819164e+00       48
 1.146122448979592e+02  5.272293636916788e-03 -2.002555383444301e-01 -5.648910848730232e-02 -1.508125114401624e+00  1.819662967336163e+00       49
 1.170000000000000e+02  1.281212451423041e-03 -5.907701779748526e-02 -9.576870505121579e-02 -1.242387706272970e+00  4.999999999999998e-01       50
